Time (UTC +01:00 M/d/yyyy h:mm:ss tt),"Minimum (integral(A), Between rulers) (Vs)"
2/1/2024 9:38:47 AM,-6.216719E-09
2/1/2024 9:38:47 AM,-6.241062E-09
2/1/2024 9:38:47 AM,-4.948565E-09
2/1/2024 9:38:47 AM,-9.640477E-09
2/1/2024 9:38:47 AM,-4.939532E-09
2/1/2024 9:38:47 AM,-6.603456E-09
2/1/2024 9:38:48 AM,-9.276372E-09
2/1/2024 9:38:48 AM,-8.067853E-09
2/1/2024 9:38:48 AM,-6.517329E-09
2/1/2024 9:38:48 AM,-9.259868E-09
2/1/2024 9:38:48 AM,-6.644736E-09
2/1/2024 9:38:48 AM,-7.055154E-09
2/1/2024 9:38:48 AM,-9.142719E-09
2/1/2024 9:38:48 AM,-8.181592E-09
2/1/2024 9:38:48 AM,NaN
2/1/2024 9:38:48 AM,NaN
2/1/2024 9:38:48 AM,-7.134269E-09
2/1/2024 9:38:48 AM,-4.422687E-09
2/1/2024 9:38:48 AM,-6.782912E-09
2/1/2024 9:38:48 AM,-6.270533E-09
2/1/2024 9:38:48 AM,-3.675085E-09
2/1/2024 9:38:48 AM,-9.103024E-09
2/1/2024 9:38:49 AM,-3.216394E-09
2/1/2024 9:38:49 AM,-8.484915E-09
2/1/2024 9:38:49 AM,-8.657731E-09
2/1/2024 9:38:49 AM,NaN
2/1/2024 9:38:49 AM,-4.304486E-09
2/1/2024 9:38:49 AM,-7.84287E-09
2/1/2024 9:38:49 AM,-7.28995E-09
2/1/2024 9:38:49 AM,-7.620215E-09
2/1/2024 9:38:49 AM,NaN
2/1/2024 9:38:49 AM,-5.102418E-09
2/1/2024 9:38:49 AM,NaN
2/1/2024 9:38:49 AM,-5.110212E-09
2/1/2024 9:38:49 AM,NaN
2/1/2024 9:38:49 AM,-8.742838E-09
2/1/2024 9:38:49 AM,-6.884862E-09
2/1/2024 9:38:49 AM,-7.565454E-09
2/1/2024 9:38:50 AM,-7.951619E-09
2/1/2024 9:38:50 AM,-6.91301E-09
2/1/2024 9:38:50 AM,NaN
2/1/2024 9:38:50 AM,-9.339018E-09
2/1/2024 9:38:50 AM,-4.334447E-09
2/1/2024 9:38:50 AM,-6.81501E-09
2/1/2024 9:38:50 AM,-7.993082E-09
2/1/2024 9:38:50 AM,-7.944309E-09
2/1/2024 9:38:50 AM,-5.493509E-09
2/1/2024 9:38:50 AM,-5.507177E-09
2/1/2024 9:38:50 AM,NaN
2/1/2024 9:38:50 AM,-6.131035E-09
2/1/2024 9:38:50 AM,-8.108881E-09
2/1/2024 9:38:50 AM,-5.497625E-09
2/1/2024 9:38:50 AM,-5.477256E-09
2/1/2024 9:38:50 AM,NaN
2/1/2024 9:38:50 AM,-7.091739E-09
2/1/2024 9:38:51 AM,-6.122237E-09
2/1/2024 9:38:51 AM,-3.845534E-09
2/1/2024 9:38:51 AM,-4.448178E-09
2/1/2024 9:38:51 AM,-8.537519E-09
2/1/2024 9:38:51 AM,-9.401683E-09
2/1/2024 9:38:51 AM,-8.60198E-09
2/1/2024 9:38:51 AM,-9.263704E-09
2/1/2024 9:38:51 AM,NaN
2/1/2024 9:38:51 AM,NaN
2/1/2024 9:38:51 AM,-4.497115E-09
