Time (UTC +01:00 M/d/yyyy h:mm:ss tt),"Minimum (integral(A), Between rulers) (Vs)","Amplitude (integral(A), Between rulers) (Vs)"
2/1/2024 11:07:07 AM,-2.534387E-08,5.346495E-09
2/1/2024 11:07:07 AM,-2.424373E-08,8.592309E-10
2/1/2024 11:07:07 AM,-8.016361E-09,8.254854E-09
2/1/2024 11:07:08 AM,-2.14284E-09,2.436981E-09
2/1/2024 11:07:08 AM,-1.868326E-08,8.551542E-10
2/1/2024 11:07:08 AM,-1.515459E-08,1.555228E-08
2/1/2024 11:07:08 AM,-2.247533E-08,1.0481E-09
2/1/2024 11:07:08 AM,-3.204934E-08,1.274699E-09
2/1/2024 11:07:08 AM,-1.341089E-08,1.075571E-09
2/1/2024 11:07:08 AM,-1.354269E-08,1.370043E-08
2/1/2024 11:07:08 AM,1.14856E-09,1.600947E-09
2/1/2024 11:07:08 AM,-2.290538E-08,8.549055E-10
2/1/2024 11:07:08 AM,-4.28202E-09,4.511035E-09
2/1/2024 11:07:08 AM,-6.140685E-09,9.681758E-10
2/1/2024 11:07:09 AM,-1.38838E-08,1.389822E-08
2/1/2024 11:07:09 AM,-1.050935E-09,1.127089E-09
2/1/2024 11:07:09 AM,-1.832998E-08,1.25099E-09
2/1/2024 11:07:09 AM,-1.884019E-08,1.326546E-09
2/1/2024 11:07:09 AM,-2.209445E-08,2.225886E-08
2/1/2024 11:07:09 AM,-2.082006E-08,2.11523E-08
2/1/2024 11:07:09 AM,-5.22784E-08,1.45819E-09
2/1/2024 11:07:09 AM,-2.211367E-08,1.494863E-09
2/1/2024 11:07:10 AM,-1.648364E-08,7.466578E-10
2/1/2024 11:07:10 AM,-8.845227E-09,9.503267E-09
2/1/2024 11:07:10 AM,-2.257631E-10,1.582745E-09
2/1/2024 11:07:10 AM,-6.134689E-09,6.452779E-09
2/1/2024 11:07:10 AM,-1.622936E-08,1.551332E-08
2/1/2024 11:07:10 AM,-1.446426E-08,3.308606E-09
2/1/2024 11:07:10 AM,-1.885695E-08,1.278597E-09
2/1/2024 11:07:10 AM,-9.72284E-09,9.916648E-09
2/1/2024 11:07:10 AM,-8.763473E-09,9.082705E-09
2/1/2024 11:07:10 AM,-1.675489E-08,1.685998E-08
2/1/2024 11:07:10 AM,-1.938948E-08,1.382952E-09
2/1/2024 11:07:11 AM,-4.880353E-10,1.063206E-09
2/1/2024 11:07:11 AM,-2.379165E-08,9.675638E-10
2/1/2024 11:07:11 AM,-1.858905E-08,8.466898E-10
2/1/2024 11:07:11 AM,-2.170565E-08,2.088276E-09
2/1/2024 11:07:11 AM,-1.650015E-08,1.177016E-09
