Time (UTC +01:00 M/d/yyyy h:mm:ss tt),"Minimum (A, Between rulers) (V)"
2/1/2024 9:34:52 AM,-0.3548536
2/1/2024 9:34:52 AM,-0.9958169
2/1/2024 9:34:52 AM,NaN
2/1/2024 9:34:52 AM,-0.6875308
2/1/2024 9:34:52 AM,-0.2350517
2/1/2024 9:34:52 AM,NaN
2/1/2024 9:34:52 AM,-0.9170768
2/1/2024 9:34:52 AM,NaN
2/1/2024 9:34:52 AM,-0.8742003
2/1/2024 9:34:52 AM,-0.8242188
2/1/2024 9:34:52 AM,-0.4140625
2/1/2024 9:34:52 AM,-0.6316437
2/1/2024 9:34:52 AM,-0.8256336
2/1/2024 9:34:52 AM,-0.7174274
2/1/2024 9:34:52 AM,-0.5441068
2/1/2024 9:34:52 AM,-0.5042753
2/1/2024 9:34:53 AM,-0.3765994
2/1/2024 9:34:53 AM,NaN
2/1/2024 9:34:53 AM,-0.5713583
2/1/2024 9:34:53 AM,-0.5321112
2/1/2024 9:34:53 AM,-0.4359621
2/1/2024 9:34:53 AM,-0.5343873
2/1/2024 9:34:53 AM,-0.3486713
2/1/2024 9:34:53 AM,-0.7285925
2/1/2024 9:34:53 AM,NaN
2/1/2024 9:34:53 AM,NaN
2/1/2024 9:34:53 AM,-0.641763
2/1/2024 9:34:54 AM,-0.5776021
2/1/2024 9:34:54 AM,-0.625
2/1/2024 9:34:54 AM,-0.3821358
2/1/2024 9:34:54 AM,-0.7860482
2/1/2024 9:34:54 AM,-0.505075
2/1/2024 9:34:54 AM,-0.7531988
2/1/2024 9:34:54 AM,-0.6476993
2/1/2024 9:34:54 AM,-0.5486282
2/1/2024 9:34:54 AM,-0.6126353
2/1/2024 9:34:54 AM,-0.6721518
2/1/2024 9:34:54 AM,-0.8068405
2/1/2024 9:34:54 AM,NaN
2/1/2024 9:34:54 AM,-0.504952
2/1/2024 9:34:54 AM,NaN
2/1/2024 9:34:54 AM,-0.90016
2/1/2024 9:34:54 AM,-0.4396838
2/1/2024 9:34:54 AM,-0.9833292
